trip_id,route_id,service_id
350_41,350,FLXP
350_42,350,FLXP
350_43,350,FLXP
350_44,350,FLXP
350_45,350,FLXP
350_46,350,FLXP
350_47,350,FLXP
350_48,350,FLXP
350_49,350,FLXP
350_50,350,FLXP
350_51,350,FLXP
350_52,350,FLXP
350_53,350,FLXP
350_54,350,FLXP
350_55,350,FLXP
350_56,350,FLXP
350_57,350,FLXP
350_58,350,FLXP
350_59,350,FLXP
350_60,350,FLXP
350_61,350,FLXP
364_1,364,FLXP
364_2,364,FLXP
364_3,364,FLXP
364_4,364,FLXP
364_5,364,FLXP
364_6,364,FLXP
364_7,364,FLXP
364_8,364,FLXP
364_9,364,FLXP
364_10,364,FLXP
364_11,364,FLXP
364_12,364,FLXP
364_13,364,FLXP
383_1,383,FLXP
383_2,383,FLXP
383_3,383,FLXP
383_4,383,FLXP
383_5,383,FLXP
383_6,383,FLXP
383_7,383,FLXP
383_8,383,FLXP
383_9,383,FLXP
383_10,383,FLXP
383_11,383,FLXP
383_12,383,FLXP
383_13,383,FLXP
383_14,383,FLXP
383_15,383,FLXP
383_16,383,FLXP
386_1,386,FLXP
386_2,386,FLXP
386_3,386,FLXP
386_4,386,FLXP
386_5,386,FLXP
386_6,386,FLXP
386_7,386,FLXP
386_8,386,FLXP
386_9,386,FLXP
386_10,386,FLXP
386_11,386,FLXP
386_12,386,FLXP
386_13,386,FLXP
392_1,392,FLXP
392_2,392,FLXP
392_3,392,FLXP
392_4,392,FLXP
392_5,392,FLXP
392_6,392,FLXP
392_7,392,FLXP
392_8,392,FLXP
392_9,392,FLXP
392_10,392,FLXP
392_11,392,FLXP
392_12,392,FLXP
392_13,392,FLXP
392_14,392,FLXP
392_15,392,FLXP
392_16,392,FLXP
405_1,405,FLXP
405_2,405,FLXP
405_3,405,FLXP
405_4,405,FLXP
405_5,405,FLXP
405_6,405,FLXP
405_7,405,FLXP
405_8,405,FLXP
405_9,405,FLXP
405_10,405,FLXP
405_11,405,FLXP
405_12,405,FLXP
405_13,405,FLXP
427_1,427,FLXP
427_2,427,FLXP
427_3,427,FLXP
427_4,427,FLXP
427_5,427,FLXP
427_6,427,FLXP
427_7,427,FLXP
427_8,427,FLXP
427_9,427,FLXP
427_10,427,FLXP
427_11,427,FLXP
427_12,427,FLXP
427_13,427,FLXP
430_1,430,FLXP
430_2,430,FLXP
430_3,430,FLXP
430_4,430,FLXP
430_5,430,FLXP
430_6,430,FLXP
430_7,430,FLXP
430_8,430,FLXP
430_9,430,FLXP
430_10,430,FLXP
430_11,430,FLXP
430_12,430,FLXP
430_13,430,FLXP
471_1,471,FLXP
471_2,471,FLXP
471_3,471,FLXP
471_4,471,FLXP
471_5,471,FLXP
471_6,471,FLXP
471_7,471,FLXP
471_8,471,FLXP
471_9,471,FLXP
471_10,471,FLXP
471_11,471,FLXP
471_12,471,FLXP
471_13,471,FLXP
496_1,496,FLXP
496_2,496,FLXP
496_3,496,FLXP
496_4,496,FLXP
496_5,496,FLXP
