trip_id,vehicle_name
350_41,FLXPbus
350_42,FLXPbus
350_43,FLXPbus
350_44,FLXPbus
350_45,FLXPbus
350_46,FLXPbus
350_47,FLXPbus
350_48,FLXPbus
350_49,FLXPbus
350_50,FLXPbus
350_51,FLXPbus
350_52,FLXPbus
350_53,FLXPbus
350_54,FLXPbus
350_55,FLXPbus
350_56,FLXPbus
350_57,FLXPbus
350_58,FLXPbus
350_59,FLXPbus
350_60,FLXPbus
350_61,FLXPbus
364_1,FLXPbus
364_2,FLXPbus
364_3,FLXPbus
364_4,FLXPbus
364_5,FLXPbus
364_6,FLXPbus
364_7,FLXPbus
364_8,FLXPbus
364_9,FLXPbus
364_10,FLXPbus
364_11,FLXPbus
364_12,FLXPbus
364_13,FLXPbus
383_1,FLXPbus
383_2,FLXPbus
383_3,FLXPbus
383_4,FLXPbus
383_5,FLXPbus
383_6,FLXPbus
383_7,FLXPbus
383_8,FLXPbus
383_9,FLXPbus
383_10,FLXPbus
383_11,FLXPbus
383_12,FLXPbus
383_13,FLXPbus
383_14,FLXPbus
383_15,FLXPbus
383_16,FLXPbus
386_1,FLXPbus
386_2,FLXPbus
386_3,FLXPbus
386_4,FLXPbus
386_5,FLXPbus
386_6,FLXPbus
386_7,FLXPbus
386_8,FLXPbus
386_9,FLXPbus
386_10,FLXPbus
386_11,FLXPbus
386_12,FLXPbus
386_13,FLXPbus
392_1,FLXPbus
392_2,FLXPbus
392_3,FLXPbus
392_4,FLXPbus
392_5,FLXPbus
392_6,FLXPbus
392_7,FLXPbus
392_8,FLXPbus
392_9,FLXPbus
392_10,FLXPbus
392_11,FLXPbus
392_12,FLXPbus
392_13,FLXPbus
392_14,FLXPbus
392_15,FLXPbus
392_16,FLXPbus
405_1,FLXPbus
405_2,FLXPbus
405_3,FLXPbus
405_4,FLXPbus
405_5,FLXPbus
405_6,FLXPbus
405_7,FLXPbus
405_8,FLXPbus
405_9,FLXPbus
405_10,FLXPbus
405_11,FLXPbus
405_12,FLXPbus
405_13,FLXPbus
427_1,FLXPbus
427_2,FLXPbus
427_3,FLXPbus
427_4,FLXPbus
427_5,FLXPbus
427_6,FLXPbus
427_7,FLXPbus
427_8,FLXPbus
427_9,FLXPbus
427_10,FLXPbus
427_11,FLXPbus
427_12,FLXPbus
427_13,FLXPbus
430_1,FLXPbus
430_2,FLXPbus
430_3,FLXPbus
430_4,FLXPbus
430_5,FLXPbus
430_6,FLXPbus
430_7,FLXPbus
430_8,FLXPbus
430_9,FLXPbus
430_10,FLXPbus
430_11,FLXPbus
430_12,FLXPbus
